source_table,source_column,target_object_type,target_property,mapping_type,difficulty,rationale,evidence_source,evidence_location,annotation_status,review_status
ContractAward,action_date,Contract,dateSigned,1:n,context,"USAspending defines the action date as issue/signature or binding agreement date, spanning both OCDS award and contract-signing dates.",USAspending data dictionary; OCDS 1.1.5 schema,USAspending field action_date; OCDS 1.1.5 canonical schema: Contract.dateSigned,draft_complete,deterministically_validated_not_independent
ContractAward,award_latest_action_date,Release,date,1:1,hard,The latest recorded award action is the closest source timestamp for the corresponding OCDS release event.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field award_latest_action_date; OCDS 1.1.5 canonical schema: Release.date,draft_complete,deterministically_validated_not_independent
ContractAward,contract_award_unique_key,Award,id,1:1,hard,The USAspending key identifies the prime award; OCDS Award.id is the identifier scoped to an award.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field contract_award_unique_key; OCDS 1.1.5 canonical schema: Award.id,draft_complete,deterministically_validated_not_independent
ContractAward,current_total_value_of_award,Award,value.amount,1:n,context,The obligated value to date can populate the value of the award and the associated contract in the selected publication profile.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field current_total_value_of_award; OCDS 1.1.5 canonical schema: Award.value.amount,draft_complete,deterministically_validated_not_independent
ContractAward,current_total_value_of_award,Contract,value.amount,1:n,context,The obligated value to date can populate the value of the award and the associated contract in the selected publication profile.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field current_total_value_of_award; OCDS 1.1.5 canonical schema: Contract.value.amount,draft_complete,deterministically_validated_not_independent
ContractAward,parent_award_id_piid,Contract,relatedProcesses.identifier,1:1,hard,The referenced parent award identifier is represented as an identifier of a related contracting process.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field parent_award_id_piid; OCDS 1.1.5 canonical schema: Contract.relatedProcesses.identifier,draft_complete,deterministically_validated_not_independent
ContractAward,period_of_performance_current_end_date,Award,contractPeriod.endDate,1:n,easy,Both target paths represent the scheduled current end of performance.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field period_of_performance_current_end_date; OCDS 1.1.5 canonical schema: Award.contractPeriod.endDate,draft_complete,deterministically_validated_not_independent
ContractAward,period_of_performance_current_end_date,Contract,period.endDate,1:n,easy,Both target paths represent the scheduled current end of performance.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field period_of_performance_current_end_date; OCDS 1.1.5 canonical schema: Contract.period.endDate,draft_complete,deterministically_validated_not_independent
ContractAward,period_of_performance_potential_end_date,Award,contractPeriod.maxExtentDate,1:n,datatype,"The potential end date, including options, matches the maximum extent date rather than the current end date.",USAspending data dictionary; OCDS 1.1.5 schema,USAspending field period_of_performance_potential_end_date; OCDS 1.1.5 canonical schema: Award.contractPeriod.maxExtentDate,draft_complete,deterministically_validated_not_independent
ContractAward,period_of_performance_potential_end_date,Contract,period.maxExtentDate,1:n,datatype,"The potential end date, including options, matches the maximum extent date rather than the current end date.",USAspending data dictionary; OCDS 1.1.5 schema,USAspending field period_of_performance_potential_end_date; OCDS 1.1.5 canonical schema: Contract.period.maxExtentDate,draft_complete,deterministically_validated_not_independent
ContractAward,period_of_performance_start_date,Award,contractPeriod.startDate,1:n,easy,Both target paths represent the start of contract performance.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field period_of_performance_start_date; OCDS 1.1.5 canonical schema: Award.contractPeriod.startDate,draft_complete,deterministically_validated_not_independent
ContractAward,period_of_performance_start_date,Contract,period.startDate,1:n,easy,Both target paths represent the start of contract performance.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field period_of_performance_start_date; OCDS 1.1.5 canonical schema: Contract.period.startDate,draft_complete,deterministically_validated_not_independent
ContractAward,potential_total_value_of_award,Tender,value.amount,1:1,hard,The total possible value including options is closest to the tender's upper estimated procurement value.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field potential_total_value_of_award; OCDS 1.1.5 canonical schema: Tender.value.amount,draft_complete,deterministically_validated_not_independent
ContractAward,prime_award_base_transaction_description,Award,description,1:n,context,The same plain-language procurement description is applicable to the OCDS award and resulting contract descriptions.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field prime_award_base_transaction_description; OCDS 1.1.5 canonical schema: Award.description,draft_complete,deterministically_validated_not_independent
ContractAward,prime_award_base_transaction_description,Contract,description,1:n,context,The same plain-language procurement description is applicable to the OCDS award and resulting contract descriptions.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field prime_award_base_transaction_description; OCDS 1.1.5 canonical schema: Contract.description,draft_complete,deterministically_validated_not_independent
ContractAward,solicitation_date,Tender,tenderPeriod.startDate,1:1,context,Solicitation issuance begins the target tender period.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field solicitation_date; OCDS 1.1.5 canonical schema: Tender.tenderPeriod.startDate,draft_complete,deterministically_validated_not_independent
ContractAward,solicitation_identifier,Tender,id,1:1,easy,Both fields identify the solicitation/tender within the contracting process.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field solicitation_identifier; OCDS 1.1.5 canonical schema: Tender.id,draft_complete,deterministically_validated_not_independent
ContractAward,total_obligated_amount,Award,value.amount,1:1,context,The cumulative obligated amount is the selected award value measure.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field total_obligated_amount; OCDS 1.1.5 canonical schema: Award.value.amount,draft_complete,deterministically_validated_not_independent
ContractAward,total_outlayed_amount_for_overall_award,,,no-match,no_match,"The fixed target excludes OCDS implementation transactions, and no selected target property represents cumulative government outlays.",USAspending data dictionary; OCDS 1.1.5 schema,USAspending field total_outlayed_amount_for_overall_award; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
PlaceOfPerformance,primary_place_of_performance_city_name,Address,locality,1:n,easy,A city name is the locality component of an address.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field primary_place_of_performance_city_name; OCDS 1.1.5 canonical schema: Address.locality,draft_complete,deterministically_validated_not_independent
PlaceOfPerformance,primary_place_of_performance_city_name,Organization,address.locality,1:n,easy,A city name is the locality component of an address.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field primary_place_of_performance_city_name; OCDS 1.1.5 canonical schema: Organization.address.locality,draft_complete,deterministically_validated_not_independent
PlaceOfPerformance,primary_place_of_performance_congressional_district,,,no-match,no_match,The selected OCDS Address has no congressional-district property.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field primary_place_of_performance_congressional_district; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
PlaceOfPerformance,primary_place_of_performance_country_code,,,no-match,no_match,The selected OCDS Address contains countryName but no country-code property.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field primary_place_of_performance_country_code; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
PlaceOfPerformance,primary_place_of_performance_country_name,Address,countryName,1:n,easy,The country name is the address countryName.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field primary_place_of_performance_country_name; OCDS 1.1.5 canonical schema: Address.countryName,draft_complete,deterministically_validated_not_independent
PlaceOfPerformance,primary_place_of_performance_country_name,Organization,address.countryName,1:n,easy,The country name is the address countryName.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field primary_place_of_performance_country_name; OCDS 1.1.5 canonical schema: Organization.address.countryName,draft_complete,deterministically_validated_not_independent
PlaceOfPerformance,primary_place_of_performance_county_name,,,no-match,no_match,The selected OCDS Address has no county property.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field primary_place_of_performance_county_name; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
PlaceOfPerformance,primary_place_of_performance_state_code,Address,region,1:n,datatype,The state code is a coded representation of the address region.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field primary_place_of_performance_state_code; OCDS 1.1.5 canonical schema: Address.region,draft_complete,deterministically_validated_not_independent
PlaceOfPerformance,primary_place_of_performance_state_code,Organization,address.region,1:n,datatype,The state code is a coded representation of the address region.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field primary_place_of_performance_state_code; OCDS 1.1.5 canonical schema: Organization.address.region,draft_complete,deterministically_validated_not_independent
PlaceOfPerformance,primary_place_of_performance_state_name,Address,region,1:n,easy,The state name is the address region.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field primary_place_of_performance_state_name; OCDS 1.1.5 canonical schema: Address.region,draft_complete,deterministically_validated_not_independent
PlaceOfPerformance,primary_place_of_performance_state_name,Organization,address.region,1:n,easy,The state name is the address region.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field primary_place_of_performance_state_name; OCDS 1.1.5 canonical schema: Organization.address.region,draft_complete,deterministically_validated_not_independent
PlaceOfPerformance,primary_place_of_performance_zip_4,Address,postalCode,1:n,datatype,ZIP+4 is a postal code value.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field primary_place_of_performance_zip_4; OCDS 1.1.5 canonical schema: Address.postalCode,draft_complete,deterministically_validated_not_independent
PlaceOfPerformance,primary_place_of_performance_zip_4,Organization,address.postalCode,1:n,datatype,ZIP+4 is a postal code value.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field primary_place_of_performance_zip_4; OCDS 1.1.5 canonical schema: Organization.address.postalCode,draft_complete,deterministically_validated_not_independent
ProcurementClassification,contingency_humanitarian_or_peacekeeping_operation_code,,,no-match,no_match,The fixed target has no named contingency/humanitarian-operation code property.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field contingency_humanitarian_or_peacekeeping_operation_code; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
ProcurementClassification,country_of_product_or_service_origin_code,,,no-match,no_match,The fixed target has no item country-of-origin property.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field country_of_product_or_service_origin_code; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
ProcurementClassification,dod_acquisition_program_code,Classification,id,1:1,abbreviation,The DoD acquisition program code is a domain-specific classification identifier.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field dod_acquisition_program_code; OCDS 1.1.5 canonical schema: Classification.id,draft_complete,deterministically_validated_not_independent
ProcurementClassification,dod_claimant_program_code,Classification,id,1:1,abbreviation,The DoD claimant program code is a classification identifier.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field dod_claimant_program_code; OCDS 1.1.5 canonical schema: Classification.id,draft_complete,deterministically_validated_not_independent
ProcurementClassification,domestic_or_foreign_entity_code,,,no-match,no_match,The fixed target has no named domestic/foreign ownership classification.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field domestic_or_foreign_entity_code; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
ProcurementClassification,extent_competed_code,Tender,procurementMethodDetails,1:1,hard,The FPDS competition code supplies publisher-specific detail about the procurement method.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field extent_competed_code; OCDS 1.1.5 canonical schema: Tender.procurementMethodDetails,draft_complete,deterministically_validated_not_independent
ProcurementClassification,naics_code,Classification,id,1:n,abbreviation,NAICS is an industry classification identifier.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field naics_code; OCDS 1.1.5 canonical schema: Classification.id,draft_complete,deterministically_validated_not_independent
ProcurementClassification,naics_code,Item,classification.id,1:n,abbreviation,NAICS is an industry classification identifier.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field naics_code; OCDS 1.1.5 canonical schema: Item.classification.id,draft_complete,deterministically_validated_not_independent
ProcurementClassification,naics_code,Award,items.classification.id,1:n,abbreviation,NAICS is an industry classification identifier.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field naics_code; OCDS 1.1.5 canonical schema: Award.items.classification.id,draft_complete,deterministically_validated_not_independent
ProcurementClassification,naics_description,Classification,description,1:n,easy,The NAICS label is a classification description.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field naics_description; OCDS 1.1.5 canonical schema: Classification.description,draft_complete,deterministically_validated_not_independent
ProcurementClassification,naics_description,Item,classification.description,1:n,easy,The NAICS label is a classification description.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field naics_description; OCDS 1.1.5 canonical schema: Item.classification.description,draft_complete,deterministically_validated_not_independent
ProcurementClassification,naics_description,Award,items.classification.description,1:n,easy,The NAICS label is a classification description.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field naics_description; OCDS 1.1.5 canonical schema: Award.items.classification.description,draft_complete,deterministically_validated_not_independent
ProcurementClassification,product_or_service_code,Classification,id,1:n,abbreviation,"PSC is a classification identifier at reusable, item, and awarded-item levels.",USAspending data dictionary; OCDS 1.1.5 schema,USAspending field product_or_service_code; OCDS 1.1.5 canonical schema: Classification.id,draft_complete,deterministically_validated_not_independent
ProcurementClassification,product_or_service_code,Item,classification.id,1:n,abbreviation,"PSC is a classification identifier at reusable, item, and awarded-item levels.",USAspending data dictionary; OCDS 1.1.5 schema,USAspending field product_or_service_code; OCDS 1.1.5 canonical schema: Item.classification.id,draft_complete,deterministically_validated_not_independent
ProcurementClassification,product_or_service_code,Award,items.classification.id,1:n,abbreviation,"PSC is a classification identifier at reusable, item, and awarded-item levels.",USAspending data dictionary; OCDS 1.1.5 schema,USAspending field product_or_service_code; OCDS 1.1.5 canonical schema: Award.items.classification.id,draft_complete,deterministically_validated_not_independent
ProcurementClassification,product_or_service_code_description,Classification,description,1:n,easy,The PSC label is a classification description at the three selected levels.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field product_or_service_code_description; OCDS 1.1.5 canonical schema: Classification.description,draft_complete,deterministically_validated_not_independent
ProcurementClassification,product_or_service_code_description,Item,classification.description,1:n,easy,The PSC label is a classification description at the three selected levels.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field product_or_service_code_description; OCDS 1.1.5 canonical schema: Item.classification.description,draft_complete,deterministically_validated_not_independent
ProcurementClassification,product_or_service_code_description,Award,items.classification.description,1:n,easy,The PSC label is a classification description at the three selected levels.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field product_or_service_code_description; OCDS 1.1.5 canonical schema: Award.items.classification.description,draft_complete,deterministically_validated_not_independent
ProcurementClassification,sea_transportation_code,,,no-match,no_match,The fixed target has no property for anticipated sea transport of supplies.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field sea_transportation_code; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
ProcurementClassification,solicitation_procedures_code,Tender,procurementMethodDetails,1:1,hard,The coded solicitation procedure is publisher-specific procurement-method detail.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field solicitation_procedures_code; OCDS 1.1.5 canonical schema: Tender.procurementMethodDetails,draft_complete,deterministically_validated_not_independent
ProcurementClassification,subcontracting_plan_code,,,no-match,no_match,The fixed target does not encode FPDS subcontracting-plan requirement codes.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field subcontracting_plan_code; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
ProcurementClassification,type_of_contract_pricing_code,,,no-match,no_match,The fixed OCDS 1.1.5 target has no contract-pricing-arrangement property.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field type_of_contract_pricing_code; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
ProcurementClassification,type_of_set_aside_code,Tender,procurementMethodRationale,1:1,context,A set-aside code explains the policy rationale for restricting the procurement.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field type_of_set_aside_code; OCDS 1.1.5 canonical schema: Tender.procurementMethodRationale,draft_complete,deterministically_validated_not_independent
RecipientOrganization,cage_code,Organization,identifier.id,1:1,abbreviation,"CAGE is an organization identifier; its scheme is external context, not encoded in this source column.",USAspending data dictionary; OCDS 1.1.5 schema,USAspending field cage_code; OCDS 1.1.5 canonical schema: Organization.identifier.id,draft_complete,deterministically_validated_not_independent
RecipientOrganization,contracting_officers_determination_of_business_size_code,,,no-match,no_match,OCDS core Organization.details is unstructured and the fixed target has no named business-size determination property.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field contracting_officers_determination_of_business_size_code; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
RecipientOrganization,recipient_doing_business_as_name,,,no-match,no_match,OCDS 1.1.5 core has no dedicated doing-business-as organization property.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field recipient_doing_business_as_name; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
RecipientOrganization,recipient_name,Organization,name,1:n,easy,The recipient legal name is the organization and supplier name.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field recipient_name; OCDS 1.1.5 canonical schema: Organization.name,draft_complete,deterministically_validated_not_independent
RecipientOrganization,recipient_name,Award,suppliers.name,1:n,easy,The recipient legal name is the organization and supplier name.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field recipient_name; OCDS 1.1.5 canonical schema: Award.suppliers.name,draft_complete,deterministically_validated_not_independent
RecipientOrganization,recipient_parent_name,,,no-match,no_match,The fixed OCDS subset has no parent-organization relationship for a recipient's ultimate parent name.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field recipient_parent_name; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
RecipientOrganization,recipient_parent_uei,,,no-match,no_match,The fixed OCDS subset has no parent-organization relationship for a recipient's ultimate parent UEI.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field recipient_parent_uei; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
RecipientOrganization,recipient_uei,Organization,identifier.id,1:n,abbreviation,UEI is the recipient's legal-entity identifier and supplier reference ID.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field recipient_uei; OCDS 1.1.5 canonical schema: Organization.identifier.id,draft_complete,deterministically_validated_not_independent
RecipientOrganization,recipient_uei,Award,suppliers.id,1:n,abbreviation,UEI is the recipient's legal-entity identifier and supplier reference ID.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field recipient_uei; OCDS 1.1.5 canonical schema: Award.suppliers.id,draft_complete,deterministically_validated_not_independent
RecipientOrganization,service_disabled_veteran_owned_business,,,no-match,no_match,The fixed target has no named service-disabled-veteran-owned characteristic.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field service_disabled_veteran_owned_business; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
RecipientOrganization,veteran_owned_business,,,no-match,no_match,The fixed target has no named veteran-owned-business characteristic.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field veteran_owned_business; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
RecipientOrganization,woman_owned_business,,,no-match,no_match,The fixed target has no named woman-owned-business characteristic.,USAspending data dictionary; OCDS 1.1.5 schema,USAspending field woman_owned_business; OCDS 1.1.5 fixed 108-property subset reviewed; no equivalent,draft_complete,deterministically_validated_not_independent
